UMAP1,UMAP2
9.897801,3.8244314
7.718345,5.955206
8.907091,5.6848645
7.2936144,4.8635335
9.442213,6.3610272
10.018547,3.8737562
7.3395133,4.5196953
7.866736,5.883907
10.143825,5.272903
5.9262223,5.627417
5.589544,4.6724687
6.6486664,5.7461243
6.089932,5.2445655
3.918237,4.8755627
7.815673,6.335102
8.835576,6.564697
5.211264,5.9056277
5.46911,4.14174
5.5677533,4.898584
5.6821017,3.9482555
5.3725076,4.284199
7.171973,4.745459
9.697498,4.9555154
3.5283163,3.407131
9.501706,5.793149
5.9640737,4.3136625
9.235181,6.3232384
4.842463,5.6525574
7.3334928,4.6675334
9.819947,3.973893
5.136472,4.959113
7.3493237,4.808515
9.514336,4.642773
5.1746507,4.411131
8.269169,5.1952243
6.3166547,5.757318
5.0889206,5.7839
5.9164286,4.1264305
4.824068,4.911862
9.448702,4.7888675
6.296433,4.808196
6.860456,4.938465
9.040239,4.8156443
8.200422,5.1547995
6.6858363,4.819983
5.402961,5.066095
9.086615,6.005936
7.754666,5.786044
9.815562,4.9082212
9.737502,3.821764
5.132817,4.2495775
8.639964,6.1610446
7.798262,4.7839293
5.7604327,4.8330927
6.2432227,5.7208896
9.035371,5.1989284
4.0948105,3.6563897
6.398714,4.7019296
5.618339,4.8690257
9.045554,5.4072666
5.6648293,5.332247
2.4450161,7.813992
2.1611955,6.5176306
2.3095899,7.7328954
2.2176363,7.297553
3.8131711,4.96535
3.763933,5.2072644
2.6091793,6.4721017
2.4839766,6.3473177
3.585973,7.111567
2.2636726,4.4376016
4.5572944,3.906133
4.3068614,5.1926727
2.837288,7.121231
3.2197614,5.124535
5.690968,4.8371973
2.6660883,7.023311
3.2583964,7.461402
0.5901521,1.9921756
3.765253,4.690697
2.2057197,7.0614944
3.0686014,5.954965
2.7010646,6.619982
2.3483095,7.119038
2.3000736,7.799136
2.2476141,7.140235
2.1604028,7.5914903
2.7697444,7.683533
2.5220604,7.6364965
3.2479355,5.4043617
2.4650524,6.624465
2.8079672,7.4259453
2.7165422,7.1914
2.3684776,7.2314005
3.6481502,5.2961793
2.4113708,7.6698594
3.107074,7.4067326
2.0712569,7.0374303
2.8615737,7.7872534
2.966747,6.2403226
3.2468317,5.2964044
3.312311,3.3157218
5.425737,4.3574824
2.644584,6.309139
3.367786,4.02302
4.5271783,3.6140137
3.8201172,6.386139
3.5787535,6.503965
2.7247539,7.4954777
2.1936345,4.0532618
3.65045,6.0593104
3.4323993,6.587823
2.5149975,7.716106
4.488242,5.944741
4.0632977,5.2124047
3.8003328,5.1154356
5.450072,4.0996513
3.2097132,4.5928693
3.104812,4.397572
3.5292706,4.874231
2.1440265,7.4345922
3.7732894,6.4922132
3.4140444,6.99913
2.6765761,4.770102
4.315073,5.703561
2.5712078,5.4989004
4.6484175,5.97443
2.055583,4.072789
2.195955,6.9912844
2.4443054,6.966177
5.0531316,5.65033
3.6573355,6.584477
3.3054645,6.389123
2.7536361,7.2476854
2.2705216,6.545105
4.3454943,6.06183
2.992128,7.5079737
3.6439579,5.6107526
2.5205917,5.142547
3.10925,6.8473577
10.052651,5.0300856
9.478137,6.5769906
10.091795,4.201311
8.159635,5.827822
8.457418,6.2575345
3.1885738,3.5602272
5.635146,5.778616
9.56979,3.9375682
10.010072,4.9270244
5.752702,4.0663195
6.5284634,5.874074
8.680815,5.9659514
9.540655,6.3725815
8.835053,5.3127165
8.104487,4.9625635
10.105525,4.4587193
10.004768,4.65794
10.293161,5.159366
9.434382,5.2988477
8.131133,6.3131213
8.074938,5.5315046
8.274382,5.799546
4.6916375,4.1010594
9.771762,6.2835913
8.978771,6.228653
10.165471,5.0267463
8.549884,4.739221
8.701499,5.2171226
6.1381583,5.8162847
5.9347157,4.732487
9.232854,4.6100903
6.3665695,5.810379
9.600434,6.4966803
4.584987,5.3512383
9.044795,5.7914076
7.36715,4.5278378
9.641371,6.387517
8.528639,5.7312317
8.519013,4.6779184
8.597317,6.338998
10.009929,4.039804
7.4947267,6.0781093
9.310274,6.5108466
8.998304,4.566681
6.0941067,4.203271
10.191611,4.372014
9.398987,6.428361
10.097665,5.4612474
9.845805,6.229796
5.3287807,4.5806484
2.8637238,4.3912377
2.5206432,4.586517
5.118655,4.0148234
1.954987,3.9593172
5.1388693,3.854107
2.5533838,4.7580295
3.1609538,4.2897043
3.5165641,5.0503826
3.1268816,3.9306865
3.189044,3.0461109
2.3184202,6.7887044
3.1050122,3.2201445
2.804167,3.8546999
3.182135,4.3073845
2.7765086,4.909094
4.6525955,4.2339544
3.5140247,3.8840942
1.9857885,4.1668315
2.9126084,5.8082237
2.3014498,3.9423618
3.8328388,3.5206423
3.5238278,5.2859764
3.533097,3.6205168
3.1241794,4.7992234
3.9635458,3.4452531
3.3111331,5.845704
2.857986,5.387618
2.9180999,6.809103
3.1168575,3.9598925
2.7640662,5.294289
3.2311976,3.6480238
2.8456316,4.6283965
3.525777,3.23173
2.9199183,5.6075196
3.4233775,5.975196
3.146411,3.223569
2.9721134,4.502802
3.400783,3.229568
1.6504066,3.8104098
2.6871943,4.501931
0.56327295,2.6566646
0.68848515,2.8409789
0.96685916,3.221907
1.0403246,2.6207886
1.2795999,1.7572212
1.2799904,2.0245361
0.99366665,2.5694385
0.8135441,2.4457738
0.99306244,3.2588701
0.5993381,2.425411
